id,instruction,modality_hint,task,class
208,Would you correct system-induced blur in this PET image affecting the vertebral bodies without distorting fine structures ?,PET,medical image restoration – deblurring,blur
111,Would you clean up low-photon streaking in this X-ray scan affecting the abdominal organs while preserving diagnostic contrast ?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
459,Please undo patient motion blur affecting the cerebral vessels while maintaining diagnostic contrast urgently?,implicit,medical image restoration – deblurring,blur
581,Would you boost the insufficient in-plane resolution in this PET image affecting the deep gray nuclei without introducing artificial textures for reliable interpretation?,PET,medical image restoration – super-resolution,SR
407,Would you reduce noise from aggressive dose reduction in this CT scan affecting the vertebral bodies without obscuring subtle lesions for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
900,Is it possible to suppress dose-induced graininess in this X-ray scan affecting the spinal cord without blurring fine anatomy for reliable interpretation?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
459,Can you reduce quantum mottle in this PET scan affecting the surrounding parenchyma while maintaining anatomical fidelity for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
642,"For clinical review, can you remove quantum mottle in this CT scan affecting the pelvic organs while keeping edges sharp ?",CT,medical image restoration – low-dose artifact reduction,low-dose
884,Can someone address electronic sensor noise in this MRI image affecting the renal medulla without blurring fine detail ?,MRI,medical image restoration – denoising,noise
714,Please correct speckle noise in this CT image affecting the splenic tissue without oversmoothing edges urgently?,CT,medical image restoration – denoising,noise
590,Would you compensate for photon starvation streaks in this X-ray scan affecting the cerebral vessels without introducing artificial smoothing for reliable interpretation?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
230,"For this scan, can you eliminate low-dose noise patterns in this PET scan affecting the kidney cortex while preserving low-contrast pathology ?",PET,medical image restoration – low-dose artifact reduction,low-dose
553,"For this case, can you reduce defocus blur in this MRI image affecting the pelvic organs without distorting fine structures for immediate review?",MRI,medical image restoration – deblurring,blur
709,Is it possible to restore the reduced sampling density in this CT image affecting the white matter tracts while keeping boundaries anatomically consistent for accurate diagnosis?,CT,medical image restoration – super-resolution,SR
638,I need you to boost the insufficient in-plane resolution in this PET image affecting the kidney cortex while maintaining diagnostic integrity for immediate review?,PET,medical image restoration – super-resolution,SR
926,Could you mitigate background acquisition noise in this CT image affecting the nerve roots without compromising spatial resolution for accurate diagnosis?,CT,medical image restoration – denoising,noise
635,Can you reduce temporal blurring in this MRI image affecting the small lung nodules without introducing artificial edges as soon as possible?,MRI,medical image restoration – deblurring,blur
676,I need you to upscale the low spatial resolution in this X-ray image affecting the hip joint while preserving anatomical realism ?,X-ray,medical image restoration – super-resolution,SR
317,Please reduce defocus blur in this MRI image affecting the bone trabeculae without distorting fine structures for immediate review?,MRI,medical image restoration – deblurring,blur
506,Can you boost the downsampled resolution in this PET image affecting the hepatic vessels without amplifying noise ?,PET,medical image restoration – super-resolution,SR
524,Is it possible to enhance the thick-slice resolution affecting the cardiac chambers while preserving subtle pathology ?,implicit,medical image restoration – super-resolution,SR
329,Can someone filter out electronic sensor noise in this MRI image affecting the bone trabeculae while preserving natural texture as soon as possible?,MRI,medical image restoration – denoising,noise
428,Please compensate for motion blur in this CT image affecting the vascular lumen without introducing artificial edges for reliable interpretation?,CT,medical image restoration – deblurring,blur
209,Can you reconstruct the thick-slice resolution in this X-ray image affecting the hip joint without amplifying noise for immediate review?,X-ray,medical image restoration – super-resolution,SR
106,Can someone undo out-of-plane motion blur in this CT image affecting the cerebral vessels while preserving subtle pathology for reliable interpretation?,CT,medical image restoration – deblurring,blur
143,Can someone address partial volume blur in this MRI image affecting the liver parenchyma without introducing artificial edges as soon as possible?,MRI,medical image restoration – deblurring,blur
185,Is it possible to clean up low-photon streaking in this X-ray scan affecting the cortical bone while maintaining anatomical fidelity for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
269,Please enhance the reduced sampling density in this PET image affecting the white matter tracts without introducing artificial textures ?,PET,medical image restoration – super-resolution,SR
237,I need you to clean up quantum mottle affecting the bone trabeculae without blurring fine anatomy ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
950,Can someone minimize Gaussian noise affecting the brain cortex without blurring fine detail for accurate diagnosis?,implicit,medical image restoration – denoising,noise
551,Could you upscale the insufficient in-plane resolution in this PET image affecting the surrounding parenchyma without amplifying noise ?,PET,medical image restoration – super-resolution,SR
725,"For this case, can you refine the loss of high-frequency detail in this MRI image affecting the surrounding parenchyma without introducing artificial textures as soon as possible?",MRI,medical image restoration – super-resolution,SR
758,"For clinical review, can you attenuate noise from aggressive dose reduction in this PET scan affecting the abdominal organs without obscuring subtle lesions as soon as possible?",PET,medical image restoration – low-dose artifact reduction,low-dose
930,Please boost the loss of high-frequency detail affecting the hip joint while maintaining diagnostic integrity for accurate diagnosis?,implicit,medical image restoration – super-resolution,SR
952,Is it possible to suppress speckle noise in this MRI image affecting the knee cartilage while preserving natural texture as soon as possible?,MRI,medical image restoration – denoising,noise
680,Is it possible to reduce low-photon streaking in this X-ray scan affecting the hepatic vessels while maintaining anatomical fidelity as soon as possible?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
918,"For this scan, can you eliminate low-photon streaking in this X-ray scan affecting the pancreatic tissue without obscuring subtle lesions ?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
286,Could you compensate for noise from aggressive dose reduction in this X-ray scan affecting the surrounding parenchyma without introducing artificial smoothing for reliable interpretation?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
110,Please mitigate speckle noise in this X-ray image affecting the deep gray nuclei without altering intensity relationships for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
356,"For this scan, can you attenuate low-dose noise patterns in this X-ray scan affecting the liver parenchyma while maintaining anatomical fidelity as soon as possible?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
592,Is it possible to reduce defocus blur affecting the spinal cord without amplifying noise for immediate review?,implicit,medical image restoration – deblurring,blur
711,Can you increase the blurred detail due to low resolution in this CT image affecting the soft tissue planes without introducing artificial textures for reliable interpretation?,CT,medical image restoration – super-resolution,SR
577,"For this case, can you filter out shot noise in this MRI image affecting the kidney cortex without blurring fine detail as soon as possible?",MRI,medical image restoration – denoising,noise
588,Could you attenuate sparse-view artifacts affecting the sinus cavities without altering attenuation relationships for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
214,"For this case, can you sharpen motion blur affecting the vertebral bodies while keeping anatomical boundaries sharp ?",implicit,medical image restoration – deblurring,blur
779,Please address scanner motion blur in this PET image affecting the bone trabeculae without amplifying noise ?,PET,medical image restoration – deblurring,blur
32,Please upscale the downsampled resolution in this MRI image affecting the intervertebral discs while preserving subtle pathology for immediate review?,MRI,medical image restoration – super-resolution,SR
466,Would you remove quantum mottle in this PET scan affecting the white matter tracts without introducing artificial smoothing for accurate diagnosis?,PET,medical image restoration – low-dose artifact reduction,low-dose
44,Please correct quantum mottle affecting the tumor margins without introducing artificial smoothing for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
288,I need you to recover the coarse voxel resolution affecting the hepatic vessels while preserving anatomical realism ?,implicit,medical image restoration – super-resolution,SR
299,"For clinical review, can you compensate for statistical noise amplification in this PET scan affecting the kidney cortex while preserving low-contrast pathology for immediate clinical assessment?",PET,medical image restoration – low-dose artifact reduction,low-dose
502,Is it possible to remove dose reduction banding in this CT scan affecting the renal medulla without altering attenuation relationships for immediate clinical assessment?,CT,medical image restoration – low-dose artifact reduction,low-dose
568,Would you filter out quantum noise affecting the spinal cord while maintaining diagnostic contrast ?,implicit,medical image restoration – denoising,noise
24,"For this case, can you reconstruct the thick-slice resolution in this CT image affecting the soft tissue planes while preserving subtle pathology for accurate diagnosis?",CT,medical image restoration – super-resolution,SR
544,Please improve the coarse voxel resolution in this PET image affecting the sinus cavities without distorting small structures for reliable interpretation?,PET,medical image restoration – super-resolution,SR
354,Could you reduce statistical noise amplification in this PET scan affecting the mediastinal structures without introducing artificial smoothing as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
609,Please refine the insufficient in-plane resolution in this PET image affecting the lung parenchyma while preserving subtle pathology for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
344,Could you eliminate quantum noise in this X-ray image affecting the liver parenchyma while maintaining diagnostic contrast for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
14,"For clinical review, can you remove dose reduction banding affecting the spinal cord without blurring fine anatomy for immediate clinical assessment?",implicit,medical image restoration – low-dose artifact reduction,low-dose
274,"For this case, can you mitigate out-of-plane motion blur in this PET image affecting the meniscal tissue without introducing artificial edges ?",PET,medical image restoration – deblurring,blur
72,Can someone undo defocus blur in this MRI image affecting the brain cortex while maintaining diagnostic contrast for immediate review?,MRI,medical image restoration – deblurring,blur
88,Would you filter out statistical noise in this CT image affecting the cerebral vessels without compromising spatial resolution urgently?,CT,medical image restoration – denoising,noise
395,Would you reduce partial volume blur in this CT image affecting the coronary vessels while keeping anatomical boundaries sharp for reliable interpretation?,CT,medical image restoration – deblurring,blur
584,Would you resolve partial volume blur in this X-ray image affecting the myocardial wall without introducing artificial edges ?,X-ray,medical image restoration – deblurring,blur
867,Would you restore the insufficient in-plane resolution affecting the intervertebral discs while keeping boundaries anatomically consistent for accurate diagnosis?,implicit,medical image restoration – super-resolution,SR
718,Please remove quantum mottle in this PET scan affecting the vascular lumen without blurring fine anatomy for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
826,Could you reconstruct the resolution degradation from fast acquisition affecting the intervertebral discs while preserving subtle pathology urgently?,implicit,medical image restoration – super-resolution,SR
649,Would you improve the downsampled resolution in this MRI image affecting the vascular lumen without distorting small structures for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
612,Could you remove quantum mottle in this PET scan affecting the white matter tracts without blurring fine anatomy for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
319,Could you suppress noise from aggressive dose reduction in this PET scan affecting the vascular lumen without introducing artificial smoothing as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
764,Would you filter out statistical noise in this PET image affecting the abdominal organs while keeping anatomical boundaries sharp for immediate review?,PET,medical image restoration – denoising,noise
11,"For this case, can you improve the limited through-plane resolution in this CT image affecting the coronary vessels while maintaining diagnostic integrity for reliable interpretation?",CT,medical image restoration – super-resolution,SR
260,I need you to reduce background acquisition noise affecting the spinal cord without altering intensity relationships as soon as possible?,implicit,medical image restoration – denoising,noise
527,Is it possible to resolve system-induced blur in this CT image affecting the cortical bone without amplifying noise ?,CT,medical image restoration – deblurring,blur
378,Can someone remove temporal blurring affecting the orbital structures without introducing artificial edges ?,implicit,medical image restoration – deblurring,blur
560,"For this case, can you attenuate photon starvation noise in this PET image affecting the knee cartilage while preserving natural texture ?",PET,medical image restoration – denoising,noise
508,"For clinical review, can you mitigate low-photon streaking affecting the vascular lumen while preserving diagnostic contrast for reliable interpretation?",implicit,medical image restoration – low-dose artifact reduction,low-dose
964,Can someone address photon starvation noise in this X-ray image affecting the cardiac chambers without blurring fine detail ?,X-ray,medical image restoration – denoising,noise
569,Could you reconstruct the coarse voxel resolution in this MRI image affecting the abdominal organs while maintaining diagnostic integrity as soon as possible?,MRI,medical image restoration – super-resolution,SR
349,Can you remove spatial blurring affecting the pancreatic tissue without introducing artificial edges for immediate review?,implicit,medical image restoration – deblurring,blur
140,Is it possible to improve the low spatial resolution in this PET image affecting the bowel wall without amplifying noise as soon as possible?,PET,medical image restoration – super-resolution,SR
710,"For this case, can you clean up Rician noise in this MRI image affecting the coronary vessels while keeping anatomical boundaries sharp for immediate review?",MRI,medical image restoration – denoising,noise
51,I need you to eliminate statistical noise in this CT image affecting the hippocampus while maintaining diagnostic contrast for immediate review?,CT,medical image restoration – denoising,noise
591,Can you compensate for patient motion blur in this CT image affecting the orbital structures without amplifying noise ?,CT,medical image restoration – deblurring,blur
520,Can you fix respiratory motion blur affecting the surrounding parenchyma while preserving subtle pathology as soon as possible?,implicit,medical image restoration – deblurring,blur
673,Can someone boost the reduced sampling density in this PET image affecting the spinal cord without distorting small structures ?,PET,medical image restoration – super-resolution,SR
700,Could you compensate for dose-induced graininess in this CT scan affecting the cerebral vessels without obscuring subtle lesions as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
84,Could you reduce speckle noise in this CT image affecting the pelvic organs without masking small structures for immediate review?,CT,medical image restoration – denoising,noise
357,Could you reduce dose-induced graininess in this PET scan affecting the vertebral bodies without blurring fine anatomy for accurate diagnosis?,PET,medical image restoration – low-dose artifact reduction,low-dose
997,Can you enhance the blurred detail due to low resolution in this PET image affecting the splenic tissue while keeping boundaries anatomically consistent ?,PET,medical image restoration – super-resolution,SR
810,Would you correct shot noise affecting the meniscal tissue while preserving subtle pathology urgently?,implicit,medical image restoration – denoising,noise
878,Could you improve the loss of high-frequency detail affecting the hepatic vessels without introducing artificial textures urgently?,implicit,medical image restoration – super-resolution,SR
793,Would you undo motion blur in this MRI image affecting the shoulder tendons without distorting fine structures for immediate review?,MRI,medical image restoration – deblurring,blur
808,Could you enhance the resolution degradation from fast acquisition affecting the lung parenchyma while keeping boundaries anatomically consistent urgently?,implicit,medical image restoration – super-resolution,SR
981,Can you reduce shot noise in this PET image affecting the hepatic vessels without oversmoothing edges for immediate review?,PET,medical image restoration – denoising,noise
556,"For clinical review, can you mitigate quantum mottle in this PET scan affecting the vascular lumen while preserving low-contrast pathology for immediate clinical assessment?",PET,medical image restoration – low-dose artifact reduction,low-dose
222,"For clinical review, can you attenuate noise from aggressive dose reduction affecting the sinus cavities without introducing artificial smoothing for immediate clinical assessment?",implicit,medical image restoration – low-dose artifact reduction,low-dose
531,I need you to remove Poisson noise in this MRI image affecting the pulmonary vessels while preserving natural texture urgently?,MRI,medical image restoration – denoising,noise
411,Is it possible to clean up photon starvation noise in this PET image affecting the bowel wall while preserving subtle pathology urgently?,PET,medical image restoration – denoising,noise
916,I need you to address low-photon streaking affecting the cortical bone without introducing artificial smoothing as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
164,Would you reconstruct the thick-slice resolution in this PET image affecting the lung parenchyma while preserving subtle pathology for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
84,Could you address reconstruction blur in this X-ray image affecting the cardiac chambers without creating ringing artifacts for reliable interpretation?,X-ray,medical image restoration – deblurring,blur
137,Is it possible to reconstruct the loss of high-frequency detail in this MRI image affecting the myocardial wall without distorting small structures urgently?,MRI,medical image restoration – super-resolution,SR
21,Could you fix system-induced blur in this MRI image affecting the hip joint while maintaining diagnostic contrast ?,MRI,medical image restoration – deblurring,blur
245,Is it possible to address photon starvation streaks in this PET scan affecting the small lung nodules while preserving diagnostic contrast for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
563,Can someone remove Rician noise in this PET image affecting the pulmonary vessels without blurring fine detail ?,PET,medical image restoration – denoising,noise
974,Is it possible to address reconstruction blur in this PET image affecting the lesion boundaries without distorting fine structures urgently?,PET,medical image restoration – deblurring,blur
711,Would you suppress Poisson noise in this CT image affecting the liver parenchyma without masking small structures urgently?,CT,medical image restoration – denoising,noise
600,"For clinical review, can you correct low-photon streaking in this PET scan affecting the splenic tissue without introducing artificial smoothing as soon as possible?",PET,medical image restoration – low-dose artifact reduction,low-dose
99,Can you eliminate electronic sensor noise in this MRI image affecting the tumor margins while preserving natural texture urgently?,MRI,medical image restoration – denoising,noise
741,I need you to suppress low-photon streaking in this X-ray scan affecting the soft tissue planes while keeping edges sharp for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
887,I need you to mitigate motion blur in this PET image affecting the myocardial wall while preserving natural texture for reliable interpretation?,PET,medical image restoration – deblurring,blur
417,I need you to reduce low-photon streaking in this X-ray scan affecting the liver parenchyma while keeping edges sharp for accurate diagnosis?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
86,Can someone increase the resolution degradation from fast acquisition affecting the renal medulla without distorting small structures ?,implicit,medical image restoration – super-resolution,SR
363,Please enhance the low spatial resolution in this CT image affecting the bowel wall without distorting small structures for reliable interpretation?,CT,medical image restoration – super-resolution,SR
738,Please resolve partial volume blur in this PET image affecting the deep gray nuclei while maintaining diagnostic contrast for reliable interpretation?,PET,medical image restoration – deblurring,blur
454,Would you eliminate shot noise in this CT image affecting the spinal cord while maintaining diagnostic contrast for accurate diagnosis?,CT,medical image restoration – denoising,noise
973,"For clinical review, can you clean up undersampling streak artifacts in this CT scan affecting the brain cortex while preserving diagnostic contrast ?",CT,medical image restoration – low-dose artifact reduction,low-dose
526,Could you restore the loss of high-frequency detail in this PET image affecting the orbital structures without distorting small structures ?,PET,medical image restoration – super-resolution,SR
127,I need you to mitigate noise from aggressive dose reduction in this PET scan affecting the pancreatic tissue while maintaining anatomical fidelity as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
907,Is it possible to remove partial volume blur in this CT image affecting the orbital structures without creating ringing artifacts for reliable interpretation?,CT,medical image restoration – deblurring,blur
400,Could you eliminate low-dose noise patterns affecting the lesion boundaries without obscuring subtle lesions ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
933,Would you clean up undersampling streak artifacts in this CT scan affecting the mediastinal structures while maintaining anatomical fidelity for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
948,I need you to address system-induced blur in this PET image affecting the tumor margins without introducing artificial edges urgently?,PET,medical image restoration – deblurring,blur
499,Could you suppress sparse-view artifacts in this PET scan affecting the lesion boundaries while preserving diagnostic contrast for reliable interpretation?,PET,medical image restoration – low-dose artifact reduction,low-dose
893,Can you address low-dose noise patterns in this X-ray scan affecting the splenic tissue while maintaining anatomical fidelity as soon as possible?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
716,"For this case, can you reduce scanner motion blur in this PET image affecting the renal medulla without introducing artificial edges for accurate diagnosis?",PET,medical image restoration – deblurring,blur
650,Would you compensate for low-dose noise patterns affecting the liver parenchyma while maintaining anatomical fidelity for immediate clinical assessment?,implicit,medical image restoration – low-dose artifact reduction,low-dose
687,I need you to sharpen system-induced blur in this CT image affecting the nerve roots without distorting fine structures for accurate diagnosis?,CT,medical image restoration – deblurring,blur
411,Can someone increase the resolution degradation from fast acquisition in this PET image affecting the small lung nodules without distorting small structures as soon as possible?,PET,medical image restoration – super-resolution,SR
942,"For this scan, can you address low-dose noise patterns in this CT scan affecting the orbital tissues without obscuring subtle lesions for accurate diagnosis?",CT,medical image restoration – low-dose artifact reduction,low-dose
966,I need you to boost the low spatial resolution in this MRI image affecting the vertebral bodies without distorting small structures for immediate review?,MRI,medical image restoration – super-resolution,SR
886,Can you correct respiratory motion blur in this PET image affecting the lesion boundaries while preserving natural texture for accurate diagnosis?,PET,medical image restoration – deblurring,blur
918,Could you mitigate motion blur in this CT image affecting the splenic tissue without distorting fine structures urgently?,CT,medical image restoration – deblurring,blur
463,"For clinical review, can you suppress low-photon streaking in this CT scan affecting the surrounding parenchyma while preserving low-contrast pathology for immediate clinical assessment?",CT,medical image restoration – low-dose artifact reduction,low-dose
660,Is it possible to boost the low spatial resolution in this PET image affecting the hip joint while preserving subtle pathology for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
266,I need you to correct background acquisition noise in this PET image affecting the cerebral vessels while keeping anatomical boundaries sharp urgently?,PET,medical image restoration – denoising,noise
484,Please compensate for defocus blur affecting the cardiac chambers while preserving natural texture ?,implicit,medical image restoration – deblurring,blur
991,"For this scan, can you compensate for dose reduction banding in this CT scan affecting the abdominal organs while maintaining anatomical fidelity as soon as possible?",CT,medical image restoration – low-dose artifact reduction,low-dose
455,Can you improve the loss of high-frequency detail in this CT image affecting the deep gray nuclei without introducing artificial textures for accurate diagnosis?,CT,medical image restoration – super-resolution,SR
278,Can someone address system-induced blur in this CT image affecting the cardiac chambers while maintaining diagnostic contrast urgently?,CT,medical image restoration – deblurring,blur
989,I need you to mitigate partial volume blur in this X-ray image affecting the shoulder tendons while preserving subtle pathology for accurate diagnosis?,X-ray,medical image restoration – deblurring,blur
85,Could you address photon starvation streaks affecting the hepatic vessels while maintaining anatomical fidelity as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
246,Would you suppress electronic sensor noise affecting the lesion boundaries without blurring fine detail for accurate diagnosis?,implicit,medical image restoration – denoising,noise
572,I need you to remove temporal blurring in this PET image affecting the surrounding parenchyma without introducing artificial edges urgently?,PET,medical image restoration – deblurring,blur
436,Is it possible to mitigate statistical noise in this CT image affecting the vertebral bodies without oversmoothing edges as soon as possible?,CT,medical image restoration – denoising,noise
994,Can someone sharpen cardiac motion blur in this CT image affecting the liver parenchyma without amplifying noise urgently?,CT,medical image restoration – deblurring,blur
296,Would you enhance the downsampled resolution in this CT image affecting the cerebral vessels while keeping boundaries anatomically consistent as soon as possible?,CT,medical image restoration – super-resolution,SR
261,"For clinical review, can you eliminate noise from aggressive dose reduction in this X-ray scan affecting the kidney cortex without altering attenuation relationships for accurate diagnosis?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
586,I need you to address patient motion blur in this MRI image affecting the vertebral bodies without amplifying noise for immediate review?,MRI,medical image restoration – deblurring,blur
350,Please filter out low-dose noise in this CT image affecting the liver parenchyma without altering intensity relationships urgently?,CT,medical image restoration – denoising,noise
8,Is it possible to address shot noise affecting the hippocampus while maintaining diagnostic contrast for accurate diagnosis?,implicit,medical image restoration – denoising,noise
675,"For this case, can you resolve out-of-plane motion blur in this PET image affecting the vascular lumen without introducing artificial edges for accurate diagnosis?",PET,medical image restoration – deblurring,blur
448,Please correct cardiac motion blur in this X-ray image affecting the abdominal organs while preserving natural texture for reliable interpretation?,X-ray,medical image restoration – deblurring,blur
889,I need you to reconstruct the limited through-plane resolution in this MRI image affecting the pancreatic tissue without distorting small structures for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
995,"For this scan, can you correct statistical noise amplification in this X-ray scan affecting the soft tissue planes while maintaining anatomical fidelity as soon as possible?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
65,"For this scan, can you correct photon starvation streaks in this X-ray scan affecting the small lung nodules while keeping edges sharp for accurate diagnosis?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
161,Please increase the loss of high-frequency detail in this MRI image affecting the hepatic vessels without hallucinating structures for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
501,Would you clean up noise from aggressive dose reduction in this CT scan affecting the orbital tissues without blurring fine anatomy as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
691,Could you reduce speckle noise in this MRI image affecting the hippocampus without compromising spatial resolution for reliable interpretation?,MRI,medical image restoration – denoising,noise
298,"For this case, can you restore the insufficient in-plane resolution in this MRI image affecting the nerve roots while maintaining diagnostic integrity ?",MRI,medical image restoration – super-resolution,SR
248,Please filter out electronic sensor noise in this CT image affecting the orbital structures without oversmoothing edges ?,CT,medical image restoration – denoising,noise
986,Would you correct photon starvation noise affecting the splenic tissue while maintaining diagnostic contrast for immediate review?,implicit,medical image restoration – denoising,noise
295,"For this case, can you mitigate motion blur in this MRI image affecting the hip joint without distorting fine structures for accurate diagnosis?",MRI,medical image restoration – deblurring,blur
548,Could you clean up photon starvation noise in this CT image affecting the hippocampus while preserving natural texture for reliable interpretation?,CT,medical image restoration – denoising,noise
13,I need you to clean up low-dose noise patterns affecting the abdominal organs without obscuring subtle lesions for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
589,Would you resolve scanner motion blur in this MRI image affecting the brain cortex while preserving natural texture as soon as possible?,MRI,medical image restoration – deblurring,blur
130,Could you attenuate photon starvation streaks in this PET scan affecting the renal medulla while maintaining anatomical fidelity for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
62,I need you to sharpen the reduced sampling density in this PET image affecting the soft tissue planes while maintaining diagnostic integrity urgently?,PET,medical image restoration – super-resolution,SR
426,Can someone correct spatial blurring in this MRI image affecting the bone trabeculae while preserving natural texture for accurate diagnosis?,MRI,medical image restoration – deblurring,blur
55,Would you mitigate structured noise in this X-ray image affecting the sinus cavities while preserving natural texture for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
321,Could you reconstruct the resolution degradation from fast acquisition in this PET image affecting the brain cortex while preserving subtle pathology for reliable interpretation?,PET,medical image restoration – super-resolution,SR
557,Please remove reconstruction blur in this MRI image affecting the intervertebral discs without distorting fine structures as soon as possible?,MRI,medical image restoration – deblurring,blur
533,Is it possible to boost the limited through-plane resolution in this X-ray image affecting the knee cartilage without distorting small structures ?,X-ray,medical image restoration – super-resolution,SR
576,I need you to reduce low-photon streaking in this CT scan affecting the sinus cavities without blurring fine anatomy for immediate clinical assessment?,CT,medical image restoration – low-dose artifact reduction,low-dose
542,Could you upscale the downsampled resolution in this CT image affecting the myocardial wall while keeping boundaries anatomically consistent ?,CT,medical image restoration – super-resolution,SR
539,"For this case, can you increase the insufficient in-plane resolution affecting the shoulder tendons while keeping boundaries anatomically consistent for accurate diagnosis?",implicit,medical image restoration – super-resolution,SR
697,Please compensate for undersampling streak artifacts affecting the splenic tissue while preserving diagnostic contrast for immediate clinical assessment?,implicit,medical image restoration – low-dose artifact reduction,low-dose
194,"For this case, can you minimize Gaussian noise in this PET image affecting the lung parenchyma without masking small structures for immediate review?",PET,medical image restoration – denoising,noise
717,Could you eliminate shot noise in this X-ray image affecting the myocardial wall while preserving subtle pathology for immediate review?,X-ray,medical image restoration – denoising,noise
157,"For this case, can you sharpen the coarse voxel resolution in this PET image affecting the pelvic organs without introducing artificial textures for reliable interpretation?",PET,medical image restoration – super-resolution,SR
605,Please recover the loss of high-frequency detail in this X-ray image affecting the nerve roots while keeping boundaries anatomically consistent for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
923,Please upscale the insufficient in-plane resolution in this MRI image affecting the knee cartilage while keeping boundaries anatomically consistent for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
458,"For clinical review, can you mitigate quantum mottle affecting the mediastinal structures while maintaining anatomical fidelity as soon as possible?",implicit,medical image restoration – low-dose artifact reduction,low-dose
286,Can you filter out photon starvation noise in this CT image affecting the lesion boundaries while preserving natural texture as soon as possible?,CT,medical image restoration – denoising,noise
464,Could you improve the blurred detail due to low resolution affecting the pancreatic tissue while preserving anatomical realism for reliable interpretation?,implicit,medical image restoration – super-resolution,SR
581,"For clinical review, can you reduce sparse-view artifacts in this CT scan affecting the small lung nodules without introducing artificial smoothing for immediate clinical assessment?",CT,medical image restoration – low-dose artifact reduction,low-dose
189,Could you boost the downsampled resolution in this PET image affecting the renal medulla while maintaining diagnostic integrity for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
88,"For this scan, can you suppress low-photon streaking affecting the liver parenchyma without obscuring subtle lesions as soon as possible?",implicit,medical image restoration – low-dose artifact reduction,low-dose
890,I need you to reduce quantum noise affecting the bone trabeculae while preserving natural texture for reliable interpretation?,implicit,medical image restoration – denoising,noise
592,Would you eliminate structured noise in this X-ray image affecting the pelvic organs while keeping anatomical boundaries sharp for accurate diagnosis?,X-ray,medical image restoration – denoising,noise
525,Is it possible to recover the low spatial resolution in this PET image affecting the lung parenchyma without hallucinating structures for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
163,"For this scan, can you eliminate noise from aggressive dose reduction in this X-ray scan affecting the abdominal organs without obscuring subtle lesions ?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
188,Can you refine the resolution degradation from fast acquisition in this CT image affecting the kidney cortex while keeping boundaries anatomically consistent urgently?,CT,medical image restoration – super-resolution,SR
272,Can you reduce dose reduction banding in this CT scan affecting the vascular lumen without blurring fine anatomy for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
217,I need you to sharpen the reduced sampling density in this PET image affecting the meniscal tissue while keeping boundaries anatomically consistent ?,PET,medical image restoration – super-resolution,SR
